公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
霖梓控股,数据分析师,杭州,"移动互联网,金融","['数据分析', 'SQL']",3-5年,10k-15k,B轮
凡普金科,数据分析师-增长,北京,金融,"['ETL', '数据仓库', '数据分析', 'SQLServer']",1-3年,15k-25k,不需要融资
车托帮,数据分析师,北京,"移动互联网,消费生活",['商业'],1-3年,20k-35k,C轮
乐信圣文,数据分析师,成都,"游戏,医疗丨健康","['数据运营', '数据分析']",1-3年,8k-16k,B轮
贝壳,资深/高级数据分析-B端策略分析方向,北京,房产家居,"['商业', 'BI', '可视化']",3-5年,30k-40k,D轮及以上
BLUE,数据分析,深圳,"消费生活,移动互联网","['商业', '数据分析']",3-5年,15k-25k,C轮
永辉云创科技有限公司,数据分析师,上海,"电商,消费生活",[],3-5年,19k-28k,D轮及以上
盛天网络,数据分析师,武汉,"游戏,文娱丨内容","['数据分析', '数据运营']",5-10年,12k-20k,上市公司
钱大妈,大数据分析师 （数据产品方向 ）,广州,消费生活,"['数据分析', 'Hadoop', '数据挖掘']",3-5年,15k-25k,C轮
上海你我贷互联网金融信息服务,数据分析师,上海,金融,"['数据分析', 'SQL']",3-5年,20k-30k,上市公司
霖梓控股,数据分析师,杭州,"移动互联网,金融","['SQL', '数据分析', '商业', '数据运营']",3-5年,15k-25k,B轮
淘集集,数据分析师（风控）,上海,电商,"['数据挖掘', '数据分析', '数据处理', 'MySQL']",5-10年,20k-40k,B轮
奇虎360金融,大数据分析师,北京,金融,['MySQL'],5-10年,15k-30k,上市公司
北京捷越联合,数据分析,北京,金融,"['SQL', '数据分析']",1年以下,6k-10k,不需要融资
江融信,数据分析,银川,"移动互联网,其他",[],1-3年,7k-14k,B轮
wlaike,数据分析师,深圳,"移动互联网,企业服务","['数据分析', 'SQL']",3-5年,20k-40k,B轮
道口金科,数据分析师,北京,"金融,数据服务","['风险分析', '风险评估']",1-3年,15k-25k,天使轮
洋钱罐,数据分析师,北京,"移动互联网,金融","['商业', '数据分析', 'SPSS', 'SQL']",1-3年,15k-25k,不需要融资
凡普金科,数据分析师-风控,北京,金融,"['可视化', '数据分析', '商业', 'SQL']",1-3年,15k-25k,不需要融资
贝壳,高级数据分析经理,北京,房产家居,"['BI', '数据分析']",5-10年,35k-55k,D轮及以上
闪银奇异,数据分析师,北京,"移动互联网,金融","['数据分析', 'SQL']",3-5年,20k-30k,D轮及以上
行动教育,数据分析师,上海,教育,"['数据分析', '数据运营', 'SQL']",1年以下,6k-8k,上市公司
晶赞科技Zamplus,数据分析师,上海,"数据服务,文娱丨内容",['数据分析'],3-5年,10k-20k,D轮及以上
省省回头车,数据分析师,广州,消费生活,"['商业', '数据库', '数据运营', '数据分析']",1-3年,8k-15k,A轮
源梦伟业,数据分析师,北京,"移动互联网,数据服务",['数据分析'],3-5年,15k-30k,未融资
CraiditX,数据分析师（上海）,上海,"金融,数据服务","['数据分析', '数据处理', '算法']",1-3年,15k-25k,B轮
美利金融,数据分析师（信贷策略）,深圳,金融,"['资信评估', '风险分析', '风险管理', '信贷风险管理']",3-5年,15k-20k,B轮
万兴科技集团股份有限公司,数据分析师,深圳,移动互联网,"['SQL', '数据分析', '数据运营']",1-3年,11k-22k,上市公司
知乎,数据分析（匹配引擎方向）,北京,社交,"['SQL', '数据分析']",3-5年,25k-45k,D轮及以上
独立日,数据分析师,上海,移动互联网,"['BI', '数据库', '增长黑客', '数据分析']",5-10年,15k-30k,B轮
德方智链,数据分析师,深圳,"移动互联网,金融",[],5-10年,18k-25k,不需要融资
Angsi昂司,数据分析师,深圳,"电商,消费生活","['数据分析', '数据运营', 'SPSS', 'SQL']",3-5年,15k-25k,未融资
达达-京东到家,数据分析师（中高级）,上海,消费生活,"['数据分析', 'SPSS']",3-5年,15k-25k,D轮及以上
霖梓控股,数据分析师,杭州,"移动互联网,金融",['数据分析'],3-5年,15k-25k,B轮
省省回头车,数据分析师,广州,消费生活,"['数据分析', 'SPSS', 'SQL', '数据库']",1-3年,10k-15k,A轮
联蔚科技,数据分析,南京,"移动互联网,电商","['数据分析', 'SPSS', 'SQL']",1-3年,10k-16k,未融资
DataEye,数据分析师,深圳,"移动互联网,游戏","['数据分析', 'SPSS', 'SQL']",1-3年,9k-18k,B轮
E-jade,数据分析师,长沙,"移动互联网,游戏","['数据分析', '数据运营']",1-3年,8k-15k,不需要融资
KLOOK 客路旅行,数据分析,深圳,旅游,['数据分析'],1-3年,18k-35k,D轮及以上
小加,数据分析师,广州,"广告营销,社交","['可视化', '数据分析', '数据运营']",1-3年,6k-10k,不需要融资
一面数据,数据分析师(商业方向，中高级）,深圳,"移动互联网,数据服务",[],1-3年,10k-20k,A轮
流利说®,数据分析员（校招）,上海,教育,"['数据分析', '数据运营']",应届毕业生,6k-7k,上市公司
爱财集团,大数据分析师,杭州,金融,"['商业', '数据分析']",3-5年,15k-30k,C轮
平安金服,数据分析师,上海,金融,"['数据分析', '数据运营']",5-10年,30k-60k,上市公司
罗辑思维,数据分析师,北京,"移动互联网,文娱丨内容","['数据分析', '数据运营', '可视化']",5-10年,30k-50k,D轮及以上
小元科技,数据分析师,深圳,移动互联网,"['数据运营', '数据分析', 'SQL']",1-3年,10k-15k,不需要融资
中移在线服务有限公司,数据分析（互联网运营中心）,郑州,移动互联网,"['数据挖掘', '数据分析']",3-5年,12k-24k,不需要融资
Club Factory,数据分析师（BI）,杭州,"电商,移动互联网","['BI', '数据分析']",1-3年,8k-15k,C轮
立创商城,数据分析师（商品方向）,深圳,"电商,硬件","['数据分析', 'SQL', '商业']",3-5年,15k-25k,A轮
乐学在线,数据分析 (MJ000149),北京,"移动互联网,教育",['数据分析'],3-5年,15k-30k,B轮
神策数据,数据分析师-上海,上海,数据服务,"['商业', 'BI', '可视化', '数据分析']",不限,15k-30k,C轮
